%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1627477788127127677,2413,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788160672500,2414,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788194176742,2415,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788227155001,2416,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788260430965,2417,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788294122250,2418,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788327065653,2419,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788362386101,2420,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788394164201,2421,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788427492500,2422,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788460886454,2423,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788494785516,2424,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788527618962,2425,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788560469580,2426,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788593807150,2427,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788627051492,2428,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788663021960,2429,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788693778367,2430,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788728004210,2431,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788760413239,2432,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788793700524,2433,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788827074942,2434,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788860466201,2435,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788894540940,2436,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788927211325,2437,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788960686547,2438,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477788993732352,2439,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789027203820,2440,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789061581986,2441,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789093867779,2442,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789127447317,2443,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789160576140,2444,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789193755153,2445,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789227157468,2446,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789260448217,2447,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789293845776,2448,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789327571161,2449,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789361001738,2450,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789394063367,2451,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789427284909,2452,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789461162327,2453,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789494127542,2454,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789527390220,2455,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789560685615,2456,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789593682267,2457,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789627210766,2458,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789661409990,2459,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789694231825,2460,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789727712643,2461,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789761117567,2462,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789794341082,2463,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789827089786,2464,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789861690454,2465,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789894277222,2466,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789927498334,2467,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789960975915,2468,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477789993811993,2469,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790026977970,2470,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790062317503,2471,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790094439576,2472,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790127157726,2473,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790161295034,2474,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790193843548,2475,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790227089972,2476,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790263070072,2477,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790294106295,2478,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790327547594,2479,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790360975914,2480,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790393654031,2481,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790427073759,2482,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790460543868,2483,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790493886359,2484,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790527208678,2485,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790560587545,2486,0,,1.0,0.0,0.0,0.0,0.0,0.0
1627477790594403079,2487,0,,1.0,0.0,0.0,0.0,0.0,0.0
